HIVpos_only_Mtb_DEG,HIVneg_only_Mtb_DEG
ENSG00000149483,ENSG00000112339
ENSG00000149609,ENSG00000113068
ENSG00000149923,ENSG00000113163
ENSG00000150636,ENSG00000113273
ENSG00000151148,ENSG00000113845
ENSG00000151151,ENSG00000113966
ENSG00000151164,ENSG00000114374
ENSG00000152348,ENSG00000114638
ENSG00000152620,ENSG00000114745
ENSG00000152767,ENSG00000114796
ENSG00000152782,ENSG00000114841
ENSG00000153066,ENSG00000115053
ENSG00000154370,ENSG00000115275
ENSG00000154845,ENSG00000115446
ENSG00000155016,ENSG00000115526
ENSG00000156026,ENSG00000116030
ENSG00000156239,ENSG00000116191
ENSG00000156502,ENSG00000116251
ENSG00000156795,ENSG00000116679
ENSG00000156928,ENSG00000116704
ENSG00000157514,ENSG00000116786
ENSG00000158023,ENSG00000117115
ENSG00000158869,ENSG00000117280
ENSG00000159128,ENSG00000117281
ENSG00000159915,ENSG00000117362
ENSG00000160191,ENSG00000117407
ENSG00000161298,ENSG00000117597
ENSG00000161509,ENSG00000117859
ENSG00000161911,ENSG00000117868
ENSG00000162144,ENSG00000118298
ENSG00000162407,ENSG00000118412
ENSG00000162777,ENSG00000118432
ENSG00000163349,ENSG00000118473
ENSG00000163629,ENSG00000118804
ENSG00000163681,ENSG00000118849
ENSG00000163870,ENSG00000119203
ENSG00000163930,ENSG00000119403
ENSG00000164440,ENSG00000119650
ENSG00000164649,ENSG00000119760
ENSG00000164741,ENSG00000119782
ENSG00000164742,ENSG00000120049
ENSG00000164776,ENSG00000120210
ENSG00000164938,ENSG00000121064
ENSG00000164983,ENSG00000121413
ENSG00000165209,ENSG00000121764
ENSG00000165383,ENSG00000121989
ENSG00000165406,ENSG00000122035
ENSG00000165698,ENSG00000123213
ENSG00000166275,ENSG00000123349
ENSG00000166704,ENSG00000123636
ENSG00000166707,ENSG00000124406
ENSG00000167088,ENSG00000124507
ENSG00000167635,ENSG00000124535
ENSG00000167967,ENSG00000124596
ENSG00000167978,ENSG00000125354
ENSG00000168060,ENSG00000125388
ENSG00000168116,ENSG00000125503
ENSG00000168214,ENSG00000125534
ENSG00000168288,ENSG00000125743
ENSG00000168781,ENSG00000125746
ENSG00000169604,ENSG00000125772
ENSG00000169738,ENSG00000125827
ENSG00000170584,ENSG00000125885
ENSG00000170633,ENSG00000125968
ENSG00000170832,ENSG00000126016
ENSG00000170873,ENSG00000126215
ENSG00000170909,ENSG00000126254
ENSG00000171703,ENSG00000126391
ENSG00000172159,ENSG00000126746
ENSG00000172269,ENSG00000126822
ENSG00000172572,ENSG00000126870
ENSG00000172915,ENSG00000127483
ENSG00000172936,ENSG00000127540
ENSG00000173120,ENSG00000127838
ENSG00000173597,ENSG00000128524
ENSG00000173681,ENSG00000128534
ENSG00000174307,ENSG00000128891
ENSG00000174326,ENSG00000128989
ENSG00000174564,ENSG00000129128
ENSG00000174721,ENSG00000129194
ENSG00000174885,ENSG00000129353
ENSG00000175387,ENSG00000129465
ENSG00000175426,ENSG00000129467
ENSG00000175514,ENSG00000129696
ENSG00000175595,ENSG00000130024
ENSG00000176248,ENSG00000130147
ENSG00000176422,ENSG00000130508
ENSG00000176723,ENSG00000130518
ENSG00000177427,ENSG00000130724
ENSG00000177694,ENSG00000130844
ENSG00000179044,ENSG00000130921
ENSG00000179222,ENSG00000130958
ENSG00000179331,ENSG00000131375
ENSG00000179583,ENSG00000131379
ENSG00000179632,ENSG00000131446
ENSG00000179965,ENSG00000131471
ENSG00000181007,ENSG00000131711
ENSG00000181036,ENSG00000131844
ENSG00000181038,ENSG00000132005
ENSG00000181544,ENSG00000132153
ENSG00000181588,ENSG00000132561
ENSG00000182185,ENSG00000132603
ENSG00000182199,ENSG00000132612
ENSG00000182362,ENSG00000132676
ENSG00000183137,ENSG00000132680
ENSG00000183172,ENSG00000132704
